Time [s],Channel 0
294.449623520,0
295.335906400,1
295.429961920,0
296.321793440,1
296.429294080,0
297.320365440,1
297.444584480,0
298.312701120,1
298.443571360,0
298.518719840,1
298.567477600,0
299.323609920,1
299.448954400,0
300.317184960,1
300.428294240,0
300.441876160,1
300.483119040,0
300.516105600,1
300.541259360,0
300.596765120,1
300.735163840,0
300.743622080,1
300.833636800,0
300.856194240,1
301.363584320,0
301.369864320,1
301.378040480,0
301.412974080,1
301.660132320,0
301.684566560,1
301.692400000,0
302.325699840,1
302.430877280,0
303.125004000,1
303.134882400,0
303.305553920,1
303.635653440,0
303.682544640,1
303.795783360,0
303.803992320,1
303.916298240,0
304.288129440,1
304.296609920,0
304.311483360,1
304.702951680,0
304.808794560,1
304.852374560,0
305.168759680,1
305.179550880,0
305.185594400,1
305.194676160,0
305.311179520,1
305.456861280,0
305.684622560,1
305.696907200,0
305.704366880,1
305.712618240,0
305.986691520,1
306.083041280,0
306.324239680,1
306.515274240,0
306.527876800,1
306.557250400,0
307.319515040,1
307.551361920,0
308.422401760,1
308.527568640,0
309.397258240,1
309.440544960,0
310.331536480,1
310.456108160,0
311.326238400,1
311.391979040,0
311.420236800,1
311.541196000,0
312.316830720,1
312.445762720,0
313.341090080,1
313.438320640,0
314.324637920,1
314.429008960,0
315.317960640,1
315.436705600,0
316.325677280,1
316.444886240,0
317.324941440,1
317.532960960,0
318.344060960,1
318.536790080,0
319.316133120,1
319.532544480,0
320.324506560,1
320.546734720,0
321.324304160,1
321.434261280,0
322.331826400,1
322.556315040,0
323.326252000,1
323.435362880,0
323.472215520,1
323.513330080,0
324.323912960,1
324.532160320,0
325.327145600,1
325.448367680,0
326.311193600,1
326.533786880,0
327.213776000,1
327.231648800,0
327.307515520,1
327.459229280,0
328.322416480,1
328.550741280,0
328.786040640,1
328.834100640,0
328.843484960,1
328.851818080,0
328.909117440,1
328.945373920,0
329.049622880,1
329.088396480,0
329.125903680,1
329.154335520,0
329.165287520,1
329.253386240,0
329.305082080,1
329.383057920,0
329.390173120,1
329.424973920,0
329.432403200,1
329.468595520,0
329.511449600,1
329.533838880,0
329.665373280,1
329.698195840,0
330.130139520,1
330.178793600,0
330.182512320,1
330.214650560,0
330.311952640,1
330.460529920,0
331.329037120,1
331.452760800,0
332.069764480,1
332.097863520,0
332.331297280,1
332.366253600,0
332.402350400,1
332.461054720,0
332.469881600,1
332.480472480,0
333.325295680,1
333.444131200,0
334.324917440,1
334.448108480,0
335.325476640,1
335.443806880,0
335.834142080,1
335.841184480,0
336.335427040,1
336.419315040,0
337.332205120,1
337.516937600,0
338.334075360,1
338.519315520,0
339.331901120,1
339.629788960,0
340.329029760,1
340.633468960,0
341.324837600,1
341.620848480,0
342.350483840,1
342.621653600,0
343.323822720,1
343.440855840,0
344.320695680,1
344.848262720,0
345.310311040,1
345.516642080,0
346.321672480,1
346.439091040,0
347.324953280,1
347.433863200,0
348.310726720,1
348.440543520,0
349.293278560,1
349.435367840,0
350.325846560,1
350.431699200,0
351.317971680,1
351.459318560,0
352.320776160,1
352.450959680,0
353.322998880,1
353.432465920,0
354.316678400,1
354.440547520,0
355.308705600,1
355.432087840,0
356.304462880,1
356.532780960,0
357.319092800,1
357.477839040,0
358.316930880,1
358.435421920,0
358.918661920,1
358.938402400,0
359.310886880,1
359.479569120,0
360.315683360,1
360.438382880,0
361.324045280,1
361.448527840,0
362.319125440,1
362.459282240,0
363.313598080,1
363.530733280,0
364.309228160,1
364.444440480,0
365.314982880,1
365.441761440,0
366.315596320,1
366.442249760,0
367.297008800,1
367.541539040,0
368.319393440,1
368.558584000,0
368.640791360,1
368.650465120,0
369.307642560,1
369.431603040,0
369.480965920,1
369.491784160,0
370.318105760,1
370.439256000,0
371.323043360,1
371.542560960,0
372.011397120,1
372.028401280,0
372.323241760,1
372.425585120,0
373.312985440,1
373.443724800,0
374.320075200,1
374.442275040,0
375.324356160,1
375.446320800,0
376.319086400,1
376.440650400,0
377.324114880,1
377.531346720,0
378.313881760,1
378.562536960,0
379.316398720,1
379.555709440,0
380.310348960,1
380.540491040,0
381.315473760,1
381.426832480,0
382.314578880,1
382.536443520,0
383.319608960,1
383.433952000,0
384.320840320,1
384.551945920,0
384.584062560,1
384.626872000,0
385.317455040,1
385.433588960,0
386.310402560,1
386.537423200,0
386.550416800,1
386.570948320,0
387.318054720,1
387.475097920,0
388.311836480,1
388.534844800,0
388.588991840,1
388.603790400,0
389.327077120,1
389.528249920,0
390.316560000,1
390.440199840,0
391.315155360,1
391.427165760,0
392.307690240,1
392.437785440,0
393.323717600,1
393.453493280,0
394.315397440,1
394.423499680,0
395.323932800,1
395.551259520,0
396.318836320,1
396.439186080,0
397.317623680,1
397.542423520,0
398.310370720,1
398.544104480,0
399.330347520,1
399.631324480,0
400.315855840,1
400.627755680,0
401.313098240,1
401.522814720,0
402.316260640,1
402.638141280,0
402.753677600,1
402.773422240,0
403.327862240,1
403.436936640,0
404.322416640,1
404.837583200,0
405.319139040,1
405.432240000,0
406.330506880,1
406.439503040,0
407.314064640,1
407.428901120,0
408.310552480,1
408.428981440,0
408.841392960,1
408.870106080,0
409.319403200,1
409.440854720,0
410.321549760,1
410.439968480,0
411.309888960,1
411.427006560,0
412.310146560,1
412.454452480,0
413.279622560,1
413.448126240,0
414.312777440,1
414.467033600,0
414.497535040,1
414.559949600,0
415.277351680,1
415.430613120,0
415.618147040,1
415.671576000,0
415.679323360,1
415.713547360,0
416.220388960,1
416.230949760,0
416.319573440,1
416.448394080,0
417.080946400,1
417.100015680,0
417.313124480,1
417.534449280,0
418.324242240,1
418.436332000,0
419.333824480,1
419.438304000,0
420.085532160,1
420.126790560,0
420.315364320,1
420.472402240,0
421.315172000,1
421.448282080,0
422.321975200,1
422.433198080,0
423.323556800,1
423.532815840,0
424.327446240,1
424.461092000,0
425.317973920,1
425.430661760,0
426.321275360,1
426.442918880,0
427.325188000,1
427.530498240,0
428.322468480,1
428.572428960,0
429.313088000,1
429.452527680,0
430.325157440,1
430.447334560,0
431.320565280,1
431.528929280,0
432.312638080,1
432.425344640,0
433.323867040,1
433.429043520,0
434.322070240,1
434.429366080,0
435.196884480,1
435.213625760,0
435.308141600,1
435.445657280,0
436.316394720,1
436.434778400,0
437.314963360,1
437.545497920,0
438.319797120,1
438.544130400,0
438.661209600,1
438.686361920,0
439.308413600,1
439.548836480,0
440.315300000,1
440.532217280,0
441.314056480,1
441.464614080,0
441.544811040,1
441.549169920,0
442.316012160,1
442.532276960,0
443.178313120,1
443.195532640,0
443.317430080,1
443.441369760,0
444.315522400,1
444.552946560,0
445.319594560,1
445.423731200,0
446.304521920,1
446.574032320,0
446.937743360,1
446.961517440,0
447.311432960,1
447.449860160,0
448.313130720,1
448.553154560,0
