Time [s],Channel 0
604.749353280,1
604.965759680,0
605.759205280,1
605.864104960,0
606.295521120,1
606.336495040,0
606.743121920,1
606.954216800,0
607.745330400,1
607.898658080,0
608.746690720,1
608.863339680,0
609.750772960,1
609.963203840,0
610.749524000,1
610.986953120,0
611.750357440,1
611.850642880,0
612.745167680,1
612.972889120,0
613.745447680,1
613.957837280,0
614.748724480,1
614.879089120,0
615.749444800,1
615.870136640,0
616.752065440,1
616.888841120,0
617.743835840,1
617.999921120,0
618.745047840,1
618.857506720,0
619.751533280,1
619.998000960,0
620.741776480,1
620.990183200,0
621.751172640,1
622.073964320,0
622.752907360,1
623.093168000,0
623.750579840,1
624.067067200,0
624.759271200,1
625.064381600,0
625.751501760,1
625.871025280,0
626.747341440,1
627.282290560,0
627.747314400,1
627.874789280,0
628.740621120,1
628.863627200,0
629.741851040,1
629.868425600,0
630.745848800,1
630.868324160,0
631.741430080,1
631.884996960,0
632.756617920,1
632.864030400,0
633.178393440,1
633.201864800,0
633.751618720,1
633.869318400,0
634.748406880,1
634.879297440,0
635.754891360,1
635.876531200,0
636.744462080,1
636.886537120,0
637.746676640,1
637.914453120,0
638.737436160,1
638.872198560,0
638.890260800,1
638.912799040,0
639.736334560,1
639.897940480,0
640.743404320,1
640.928714240,0
641.747410400,1
641.898869440,0
642.747273600,1
642.854533600,0
643.748988640,1
643.878974240,0
644.093451680,1
644.100202240,0
644.753686720,1
644.907962880,0
645.746478720,1
645.964509120,0
646.752549600,1
646.892258400,0
647.749924160,1
647.861333600,0
648.742816960,1
648.864956800,0
649.754395360,1
649.980702400,0
650.745003360,1
650.977167040,0
651.208872160,1
651.235871360,0
651.761592800,1
651.859952480,0
652.746077440,1
652.887191520,0
653.743745600,1
653.959788320,0
654.749356480,1
654.877811520,0
655.750971360,1
655.887433440,0
656.736148960,1
656.869224000,0
657.075260800,1
657.102861760,0
657.132041920,1
657.143016960,0
657.753119200,1
657.874064000,0
658.248505920,1
658.262172480,0
658.746225280,1
658.895460640,0
659.747582880,1
659.964326720,0
660.744972640,1
660.958698560,0
661.751522560,1
661.988505280,0
662.748708640,1
662.966028640,0
663.748581120,1
663.877411680,0
664.741468320,1
665.001140960,0
665.747408960,1
665.878831520,0
666.743869600,1
666.968820960,0
667.745098560,1
667.858030240,0
668.750556800,1
668.857525760,0
669.751384640,1
669.958707200,0
670.749776320,1
670.960096960,0
671.746117600,1
671.878795200,0
672.755604480,1
672.964167840,0
673.752360960,1
673.969441600,0
674.750547840,1
674.869496960,0
675.751379520,1
675.894646560,0
676.752463840,1
676.981060320,0
677.748106560,1
677.869500640,0
678.751311520,1
678.882441920,0
679.754363520,1
679.964371680,0
680.756535360,1
680.997004640,0
681.747086720,1
682.073507360,0
682.746978080,1
683.051605440,0
683.742515200,1
684.058887200,0
684.747573760,1
685.075950240,0
685.093410080,1
685.105701920,0
685.741892000,1
685.880275200,0
686.748958240,1
687.298952320,0
687.755330880,1
687.872823360,0
688.743551360,1
688.875504320,0
689.744535680,1
689.871502240,0
690.742310560,1
690.875252480,0
691.747084800,1
691.868090400,0
692.737407840,1
692.916870560,0
693.744796320,1
693.868777920,0
694.743865920,1
694.888476960,0
695.748267360,1
695.862000160,0
696.748047200,1
696.865873600,0
697.603026240,1
697.651592800,0
697.744251840,1
697.884756160,0
698.745798880,1
698.890785600,0
699.744319360,1
699.859809280,0
699.953138080,1
699.963958240,0
700.741137600,1
700.882596640,0
701.742845920,1
701.874747200,0
702.742643360,1
702.876650880,0
703.747069760,1
703.870609920,0
704.653991680,1
704.672745280,0
704.745483680,1
704.882449280,0
705.750629120,1
705.983443840,0
706.750260000,1
706.872868960,0
707.744465600,1
707.911376320,0
707.922893440,1
707.951627040,0
708.741366400,1
708.888147840,0
709.747014240,1
709.962052800,0
710.747318080,1
710.972434880,0
711.749030240,1
711.884233760,0
712.743279360,1
712.860625120,0
713.739655520,1
713.978906400,0
714.747047200,1
714.872139680,0
715.747424640,1
715.881569280,0
716.750488800,1
716.862125440,0
717.745033920,1
717.908589600,0
718.747864480,1
718.876347520,0
719.749489600,1
719.981476640,0
720.740331520,1
720.982531520,0
721.758063680,1
721.965847360,0
722.741119040,1
722.959495360,0
723.744731680,1
723.863570240,0
724.751459840,1
724.967665760,0
725.740442400,1
725.873514880,0
726.754479680,1
726.975168800,0
727.750217280,1
727.884362400,0
728.752060480,1
728.876533920,0
729.749998720,1
729.991945120,0
730.737558400,1
730.958087680,0
731.745000960,1
731.875756640,0
732.745869760,1
732.956817600,0
733.750772320,1
733.979164960,0
734.745340800,1
734.867231360,0
735.745744480,1
735.882671200,0
736.744828480,1
736.965009760,0
737.741424160,1
737.966684800,0
738.744285760,1
738.874623200,0
739.747550720,1
739.959790080,0
740.067684800,1
740.085000480,0
740.751213600,1
740.984335680,0
741.743239520,1
742.082688800,0
742.736147360,1
743.070727360,0
743.744679200,1
743.967237280,0
744.742078240,1
745.075315200,0
745.735022720,1
745.888117600,0
746.744926560,1
747.249367840,0
747.743646880,1
747.888013120,0
748.740160960,1
748.870619680,0
749.748159680,1
749.860303360,0
750.743923040,1
750.864457760,0
751.748748320,1
751.878133120,0
752.738483360,1
752.871870880,0
753.743469920,1
753.865959520,0
754.747330560,1
754.878031840,0
755.766644960,1
755.874821280,0
756.737796000,1
756.877171840,0
757.745033760,1
757.883167360,0
758.746457760,1
758.859975520,0
759.748512000,1
759.862857600,0
760.743314560,1
760.872822240,0
761.740609280,1
761.858660800,0
762.739847520,1
762.898550880,0
763.744722240,1
763.900831200,0
764.743166720,1
764.867528640,0
765.742148960,1
765.970352800,0
766.743774720,1
766.869750560,0
767.749664640,1
767.879554880,0
768.742881760,1
768.895297120,0
769.746705760,1
769.963976160,0
769.970269760,1
769.982744800,0
770.744026240,1
770.956749440,0
771.741701920,1
771.865015840,0
772.759860320,1
772.866255840,0
773.745065920,1
773.964520320,0
774.745880160,1
774.883568160,0
775.741898720,1
775.859616320,0
776.748308480,1
776.869871520,0
777.738117280,1
777.867735200,0
778.735236320,1
778.867885440,0
779.740459840,1
779.975873600,0
780.736406880,1
780.962904640,0
781.745880320,1
781.969244960,0
782.742526880,1
782.959468480,0
783.750222400,1
783.855900000,0
784.741672800,1
784.961746720,0
785.747138400,1
785.867740160,0
786.742104480,1
786.971094240,0
787.749685120,1
787.863291040,0
788.752050400,1
788.869690560,0
789.746788640,1
789.961694560,0
790.754929280,1
790.962634880,0
791.742108000,1
791.888908800,0
792.742378240,1
792.953496320,0
793.743164640,1
793.965603840,0
794.740602400,1
794.862212800,0
795.746285280,1
795.982282240,0
796.741156480,1
796.867273600,0
797.751015680,1
797.897432000,0
798.744059200,1
798.874327040,0
799.745567520,1
799.968017760,0
800.743008960,1
800.958406400,0
801.752411040,1
802.088226400,0
802.745681600,1
803.063505760,0
803.737748480,1
804.067453280,0
804.078771680,1
804.123298560,0
804.736769280,1
805.068187200,0
805.743625280,1
805.889445120,0
806.738577760,1
807.272772000,0
807.739360160,1
807.867068800,0
808.752470720,1
808.860592160,0
809.746012160,1
809.882987840,0
